symbol,max_close,min_close
FE,50.87,29.12
FFIV,146.56,48.36
FIS,80.84,22.28
FISV,110.92,22.52
FITB,27.79,9.25
FL,79.2,11.16
FLIR,37.23,18.33
FLR,83.65,40.94
FLS,81.55,23.333334
FMC,83.1,25.4
FOX,37.49,11.908129
FOXA,39.01,10.4417
FRT,170.35,63.07
FSLR,170.8,11.77
FTI,63.52,22.77
FTR,9.77,3.12
FTV,55.97,47.49
GD,178.67,55.67
GE,32.93,13.88
GGP,31.97,6.89528
GILD,122.21,15.915
GIS,72.64,33.57
GLW,25.0,10.88
GM,41.53,18.8
GOOG,813.11,217.22118
GOOGL,835.74,218.25325
GPC,108.31,36.96
GPN,79.23,18.05
GPS,46.59,15.52
GRMN,61.69,26.55
GS,243.09,87.7
GT,35.0,9.24
GWW,274.01,97.24
HAL,74.02,21.15
HAR,146.49,26.2
HAS,87.94,30.55
HBAN,13.51,3.68
HBI,34.58,5.4175
HCA,94.81,31.3
HCN,84.31,40.0
HCP,50.346085,23.797813
HD,138.77,27.07
HES,101.1,34.38
HIG,49.53,14.92
HOG,73.94,21.51
HOLX,42.92,13.31
HON,119.88,36.87
HP,118.29,33.42
HPE,24.68,12.06
HPQ,24.759308,5.317893
HRB,37.4,10.62
HRL,44.47,9.515
HRS,107.13,33.23
HSIC,181.78,51.3
HST,24.33,10.17
HSY,113.89,36.18
HUM,216.76,43.56
IBM,215.8,117.85
ICE,59.66,18.784
IDXX,120.83,24.965
IFF,142.97,39.77
ILMN,240.02,25.96
INTC,38.1,17.67
INTU,118.39,29.26
IP,57.59,19.605522
IPG,24.6,6.35
IR,78.75,21.15016
IRM,41.25,18.71534
ISRG,724.83,247.5
ITW,127.93,40.15
IVZ,41.85,14.85
JBHT,100.68,30.29
JCI,60.67023,27.748692
JEC,66.81,31.55
JNJ,125.4,57.02
JNPR,44.46,14.27
JPM,87.13,28.38
JWN,82.32,28.72
K,86.98,46.51
KEY,18.54,5.71
KHC,89.97,69.2
KIM,32.17,12.59
KLAC,84.18,27.16
KMB,138.13,56.43337
KMI,44.57,12.01
KMX,74.73,18.67
KO,46.89,25.015
KORS,99.84,35.57
KR,42.64,9.58
KSS,79.07,34.49
KSU,125.88,29.7
L,49.2,31.12
LB,100.22,18.38
LEG,54.53,17.87
LEN,55.59,12.71
LH,140.98,70.14
LKQ,36.23,8.75
LLL,161.56,58.94
LLTC,62.66,26.08
LLY,89.98,32.25
LMT,267.62,66.87
LNC,68.48,14.32
LNT,40.87,15.175
LOW,82.94,18.11
LRCX,109.03,31.3
LUK,37.994156,14.45
LUV,50.89,7.35
LVLT,57.2,12.9
LYB,114.59,15.0
